name,score,title,place,date,verified purch,text,upvotes
Cipero,5.0 out of 5 stars,"Quick delivery, perfect condition",the United States ,June 17 2019,Verified Purchase,  First and foremost I have my fair share of complaints with Microsoft however I own both ps4 pro and this will be my third Xbox haha but the thing that keeps me wanting to have an Xbox is unfortunately when you’ve played as long as I have that’s just where the friends I’ve made along the way are. You should know by now which games you want to play and where the people you’ll play with will be. This version of the Xbox is what you want if you are not going the full measure to get the one x.That being said the five stars are for my experience with the seller. I purchased the product and it was at my door the next day. Perfect condition. No complaints whatsoever.,0 people found this helpful
Kevin,2.0 out of 5 stars,Disappointed but it works,the United States ,January 18 2021,Verified Purchase,"  I knew this was used when I bought it so I was not expecting a flawless Xbox. I was, however expecting it to be clean, free of dust and finger prints. Which it was not. I was also expecting a controller that was in decent shape. But the controller I got has 4 buttons that stick, making it almost impossible to play any type of racing game, as the throttle always gets stuck.  It looked as if whoever sold this pulled it right out of their living room, wrapped it in bubble wrap then put it in a box and shipped it. It was not clean, There were 6 user profiles still on it. Almost half the space was full with games I could not play. Which I had to uninstall myself. I was not expecting that. I even had to blow the dust out of the console.  I will say, on the plus side it arrived a day earlier than it was scheduled to. Also a plus is that I have had no issues with the console itself.(Other than dirty and half full) It seems to work fine. I would have given this a much higher rating had the seller taken the time to clean it and included a controller that didn't stick.",0 people found this helpful
P. Cahill,3.0 out of 5 stars,NOT BRAND NEW!!!,the United States ,April 3 2019,Verified Purchase,  the box had all three security tabs broken on the bottom side. all top ones were intact. Registered serial number with Microsoft and the 1 year warranty is set to expire in two months.,2 people found this helpful
Ryan Tanis,5.0 out of 5 stars,Great graphics not a great 4K blu ray player,the United States ,March 29 2020,Verified Purchase,"  Wanted great graphics without buying a thousand dollar gaming pc. This thing has great graphics, obviously better than my wii console, and I can use the controllers on my old steam pc games. Compared to my Blu-ray player The Xbox plays 4K Blu-ray’s, Blu-ray’s and DVD’s super dark. I don’t know if I had bought a dedicated 4K Blu-ray player it would be different but just my experience with the 4K player off the xbox",0 people found this helpful
lyss,5.0 out of 5 stars,my boredom is cured,the United States ,July 10 2018,Verified Purchase,"  GREAT console, playstation can kiss my ass ",10 people found this helpful
StickyProjectile,5.0 out of 5 stars,"Works as intended, Not dissapointed nor over elated.",the United States ,March 17 2018,Verified Purchase,  Great product! Works best with AC Wifi connection or direct LAN connection.,5 people found this helpful
Andre,5.0 out of 5 stars,Perfect,the United States ,February 27 2019,Verified Purchase,"  Awhile back I had to get rid of my previous Xbox One S and I saved up to get another and purchased it from this place. It came with the controller, the console, power cable, and an HDMI cable as well as a 14 day free Xbox Live Gold trial and 1 Month of Game Pass. I was worried that this would just be the console but it was much more than that and I am very satisfied to have an Xbox One S again.",One person found this helpful
Julie,5.0 out of 5 stars,Exactly as described-very good!,the United States ,December 25 2020,Verified Purchase,  Christmas morning - seems to be working well so far. My son had to update the controller and is currently downloading games.It arrived on time and in good condition. I’m relieved that everything seems to be in order. Grateful for the seller having exactly what I needed to make a second “fair” Xbox set up for my twins who want to play with friends and each other at the same time. I wanted a refurbished product - not one newer than the other. Perfect.,0 people found this helpful
Matthew S.,1.0 out of 5 stars,Not New!,the United States ,December 24 2019,Verified Purchase,  I ordered this as a Christmas gift on December 16th with Prime 2 day shipping and it wasn't until the 23rd when it finally shipped. It showed up Christmas Eve and when I opened the box I saw the original seals from the factory had been cut and covered with new ones. Do not buy one of these consoles that are about this price point as they all seem to be used. This should be illegal to send a used console when I pay for a new one. Now I can't even send it back and get a new one before Christmas!,0 people found this helpful
Amazon Customer,5.0 out of 5 stars,Great Buy!,the United States ,January 20 2020,Verified Purchase,"  Your browser does not support HTML5 video.   Xbox is great! I have been playing it for about 4 days now. I know that doesn't seem like a long time, but it has been working very smoothly. Everything is new - it comes with batteries, remote, console and power cord, and HDMI cord.I was a little skeptical about the item upon arrival because when I opened the Amazon box I saw that the Xbox box was retaped but everything inside the box looked new and was wrapped with original wrapping.I recommend the console. The price is affordable and the system is real and quality. The same Xbox you'll buy new from Best Buy or GameStop except they have it for a higher price. Buy it, you'll enjoy it!Any problems you can always contact the seller or Microsoft.*Headphones did not come with the order - that is a separate order.",0 people found this helpful
